date,Open,High,Low,Close,Volume,RSI,SMA_20,EMA_50,MACD,BB_upper,BB_middle,BB_lower
2005-02-10,191.97,192.21,185.25,187.98,37927400.0,46.05985894274545,194.3565,187.29233273918456,1.7110181707643335,207.04299112582427,195.718,184.3930088741757
2005-02-11,186.66,192.32,186.07,187.4,26205700.0,45.660594980111505,193.96,187.29655498470675,0.9705940649170373,201.14851302067603,192.32600000000002,183.503486979324
2005-02-14,186.08,193.08,181.0,192.99,77047200.0,50.14604123219288,193.611,187.51982733824767,0.8253547333851827,199.82571879137393,191.718,183.61028120862605
2005-02-15,193.605,199.84,193.08,195.23,51514000.0,51.86082862689529,193.1775,187.82218705047325,0.880846941063794,196.9866853386814,191.036,185.0853146613186
2005-02-16,194.7,199.33,194.3,198.41,33031500.0,54.26582942302715,193.233,188.2373954014351,1.1679608138483388,200.84064823298127,192.402,183.9633517670187
2005-02-17,197.83,199.75,196.81,197.9,20807900.0,53.80159270641117,193.432,188.61632107196704,1.3389137248465204,202.38630599414788,194.38600000000002,186.38569400585217
2005-02-18,198.51,198.84,196.66,197.95,16954800.0,53.843282761168105,193.9155,188.98234769659578,1.4615815186502346,200.6571075448729,196.49599999999998,192.33489245512706
2005-02-22,196.5,198.9,190.39,191.37,26940400.0,47.73794425835687,194.448,189.0759811202587,1.016132279964836,201.47124371962624,196.172,190.87275628037375
2005-02-23,193.3,194.48,188.66,193.95,31140800.0,50.12592892055353,195.2895,189.26711911554267,0.8613656994567123,201.48912982084556,195.916,190.34287017915443
2005-02-24,183.37,189.85,182.23,188.89,51576900.0,45.714173659810676,195.272,189.25233013061944,0.3266469745633742,201.1586512437643,194.012,186.8653487562357
2005-02-25,189.15,189.92,185.51,185.87,19927000.0,43.26656220522536,195.1615,189.11968973334024,-0.3369263509178495,199.90417907736372,191.606,183.30782092263627
2005-02-28,186.0,189.87,185.85,187.99,15621100.0,45.473611035249526,195.044,189.07538817517005,-0.6838635563414073,195.20424292853153,189.614,184.02375707146848
2005-03-01,189.29,189.75,185.39,186.06,18603700.0,43.8029722741657,194.56599999999997,188.95713765849672,-1.101847252256249,194.41521959336305,188.552,182.68878040663694
2005-03-02,185.95,187.67,184.36,185.18,14556400.0,43.026775281809556,194.23,188.80901461306547,-1.4869701222492893,189.601009810899,186.798,183.994990189101
2005-03-03,186.13,187.75,184.31,187.005,15201900.0,45.19571638932188,193.28225000000003,188.7382689419649,-1.6261749905087868,188.3758544702857,186.421,184.46614552971428
2005-03-04,186.7,187.25,185.07,185.9,13534600.0,44.10098064684964,192.03425,188.6269642775741,-1.8048548731564722,188.37522585959533,186.427,184.47877414040465
2005-03-07,187.78,189.6,187.03,188.81,17317400.0,47.69414995805228,191.25675,188.6341421490418,-1.6921413353658465,189.09630956171006,186.59099999999998,184.0856904382899
2005-03-08,189.1,189.85,184.97,185.2,16076100.0,43.92227556923099,190.71525,188.4994699079029,-1.8725265540727207,189.15406416743667,186.419,183.68393583256335
2005-03-09,184.21,184.65,180.16,181.35,22698000.0,40.26499739020067,189.85075,188.21909853896554,-2.2996371777994966,190.59883299354073,185.653,180.70716700645926
2005-03-10,181.01,181.2,177.4,179.98,21899000.0,39.0198985756624,189.27075,187.8959966354767,-2.71734906615751,190.6393366364162,184.248,177.85666336358378
2005-03-11,180.44,180.95,177.15,177.8,16040500.0,37.05627380987275,188.76175,187.50007519879134,-3.1875524081342235,190.4657078281852,182.628,174.79029217181477
2005-03-14,178.33,178.4,172.57,174.99,22270900.0,34.63667652710791,188.14124999999999,187.00948401452501,-3.7437795004734085,186.71735071333686,179.86399999999998,173.0106492866631
2005-03-15,175.25,180.0,174.21,178.61,20823300.0,40.06595210405251,187.42225000000002,186.68009248454365,-3.848130874807822,182.84711799419583,178.546,174.24488200580416
2005-03-16,176.7,178.61,175.01,175.6,14198300.0,37.29219567155609,186.44075,186.24557905377722,-4.126148266382586,181.11928027416621,177.39600000000002,173.67271972583382
2005-03-17,177.13,179.64,175.8,179.29,16504600.0,42.54360401375973,185.48475,185.97281124774673,-4.00258755304219,180.62174553139724,177.25799999999998,173.89425446860272
2005-03-18,178.81,180.4,178.31,180.04,14165800.0,43.5778489777565,184.59175,185.7401519831292,-3.8003381331539288,181.76414933189932,177.706,173.64785066810066
2005-03-21,179.27,182.17,177.25,180.88,14952400.0,44.77682125600985,183.73825,185.5495577877124,-3.531563366766818,182.50006637107163,178.884,175.26793362892835
2005-03-22,181.18,181.94,177.85,178.6,11252100.0,42.1581482366981,183.09975,185.2770261097629,-3.4626194516000908,182.49868135173605,178.882,175.26531864826396
2005-03-23,177.97,180.24,177.97,178.98,9680300.0,42.75900180651608,182.35125,185.03008390938004,-3.3388301226050885,181.18371338187126,179.558,177.93228661812873
2005-03-24,180.228,180.86,179.2,179.25,7402900.0,43.21040031100901,181.86925,184.80341395214947,-3.1822563734197615,181.18129396492336,179.55,177.91870603507667
2005-03-28,181.68,184.8,180.95,181.42,17458500.0,46.838903432752524,181.64675,184.67073105206518,-2.8502141896030935,182.0535223904588,179.826,177.5984776095412
2005-03-29,181.05,183.28,178.07,179.57,12933000.0,44.24350015461685,181.22575,184.47070238335672,-2.7051644536828974,181.5263903791028,179.564,177.6016096208972
2005-03-30,180.64,181.45,179.6,180.45,12459700.0,45.78248162966145,180.94525000000002,184.31302778008782,-2.490493983048168,181.7194792073825,179.934,178.1485207926175
2005-03-31,177.95,181.39,177.64,180.51,13523600.0,45.89214244964929,180.71175,184.16388943577067,-2.289136845279671,181.77320579179548,180.23999999999998,178.70679420820449
2005-04-01,181.76,182.95,179.99,180.04,12351600.0,45.122243321621156,180.3635,184.00216828142672,-2.142784251925093,181.6222483408178,180.39799999999997,179.17375165918213
2005-04-04,179.95,185.32,179.84,185.29,16136600.0,54.337391813874696,180.333,184.05267148607663,-1.5848979266253878,185.34479570551866,181.17199999999997,176.99920429448127
2005-04-05,187.73,190.26,187.57,188.57,17455900.0,58.972695536606466,180.32099999999997,184.22982162387757,-0.8680935643349699,189.76783872675003,182.972,176.17616127325
2005-04-06,189.24,189.65,187.58,189.22,10494600.0,59.84267000558153,180.522,184.42551489352942,-0.2447500489868446,192.47319149111442,184.726,176.97880850888558
2005-04-07,188.78,194.62,188.64,193.76,19365000.0,65.36668409044752,181.14249999999998,184.79157313299885,0.60857891658776,196.48642128553865,187.376,178.26557871446136
2005-04-08,193.69,195.1,191.45,192.05,10222900.0,61.91214026788013,181.746,185.07621732386164,1.1337958677748645,195.63844912954596,189.778,183.91755087045402
2005-04-11,193.09,194.8,192.32,193.23,10810100.0,63.351473490751886,182.51749999999998,185.3959735072396,1.626500933602074,195.5704281418519,191.36599999999999,187.16157185814808
2005-04-12,193.0,194.42,189.41,193.955,14624500.0,64.24549151708639,183.46575,185.7316216049949,2.051822555733338,195.92807446118394,192.443,188.95792553881608
2005-04-13,193.47,194.32,189.73,192.93,13098400.0,61.94476545203334,184.18175,186.01391095381862,2.2799027718676825,194.53519998518598,193.185,191.83480001481402
2005-04-14,193.27,194.36,190.1,191.45,12293000.0,58.67727215241436,184.97425,186.22709091641397,2.314553621866196,194.48735370603416,192.723,190.95864629396587
2005-04-15,190.1,190.34,184.66,185.0,23131600.0,47.03336299901286,185.25975,186.17896970400557,1.8007951297355191,197.8332748408328,191.31300000000002,184.79272515916725
2005-04-18,184.58,187.88,183.49,186.97,13087400.0,50.27871937011365,185.60625,186.20999049992693,1.5349069079267394,197.01753476955284,190.061,183.10446523044718
2005-04-19,189.33,192.0,188.03,191.4,16843100.0,56.703199395661976,186.13225,186.41352028424353,1.6624884218038858,195.60414238352533,189.55,183.4958576164747
2005-04-20,198.58,200.5,195.91,198.1,30872000.0,64.23085864825298,187.10725,186.87181360643007,2.2779726458181244,199.62382831695365,190.584,181.54417168304636
2005-04-21,200.42,205.0,199.32,204.75,35468200.0,69.83641398401633,188.39575,187.5729189551975,3.2647141586974726,207.85073050343556,193.244,178.63726949656444
2005-04-22,222.905,224.0,214.26,215.81,66343700.0,76.44741084152719,190.22375,188.6802554667584,4.882876721110648,219.76488641355394,199.406,179.04711358644607
2005-04-25,217.82,224.74,217.52,223.53,39640300.0,79.77888161498262,192.32925,190.04691211512085,6.710863039569887,230.0090606027288,206.718,183.42693939727118
2005-04-26,220.22,222.0,218.29,218.75,34509400.0,72.90286052545775,194.28825,191.17252340472396,7.68525843962118,230.92011744571295,212.18800000000002,193.4558825542871
2005-04-27,217.99,220.85,216.74,219.78,20509000.0,73.4341929046039,196.25475,192.2943852319897,8.443257588497573,229.292007518794,216.52400000000003,203.75599248120605
2005-04-28,219.5,222.08,217.71,219.45,17348200.0,72.94070762044069,198.20175,193.35931130132343,8.914587319514737,224.40314324554146,219.46400000000003,214.5248567544586
2005-04-29,221.91,222.25,217.82,220.0,18322000.0,73.2631994746797,200.19975000000002,194.40404419146762,9.22614665498952,223.63885840274605,220.302,216.96514159725393
2005-05-02,222.05,223.7,220.21,222.29,19515200.0,74.61951195862741,202.04975,195.49761108591989,9.547782639706384,222.44446773665263,220.054,217.66353226334738
2005-05-03,221.54,228.15,221.32,226.19,35524800.0,76.77988385480128,203.93075000000002,196.7012341805897,10.002081116168796,226.60340533843876,221.542,216.48059466156124
2005-05-04,227.18,229.88,226.999,228.5,24142800.0,77.9756955803595,205.89475,197.9482446048803,10.42830264483689,230.33575006649,223.286,216.23624993351
2005-05-05,228.62,228.62,225.88,226.98,15004100.0,75.23028429654906,207.55575,199.08674481645363,10.522142273909196,231.09845891130473,224.792,218.48554108869527
2005-05-06,228.4,229.25,226.47,228.02,13514200.0,75.85663896717602,209.35425,200.22138227463194,10.558715860516713,230.80570928746718,226.39600000000002,221.98629071253285
2005-05-09,228.0,228.5,225.43,226.02,11062500.0,72.08173531557107,210.99375,201.233092773666,10.307498974120705,229.1029140725625,227.142,225.1810859274375
2005-05-10,225.47,227.8,224.72,227.8,12678900.0,73.35271869646019,212.686,202.2749322727379,10.135206553450132,229.21093331297266,227.464,225.71706668702734
2005-05-11,228.9,231.98,227.93,231.29,22934600.0,75.68958532352376,214.60399999999998,203.41277806596386,10.163123243198783,231.57985103678797,228.022,224.464148963212
2005-05-12,230.81,232.23,228.2,228.72,17878500.0,70.76794381276483,216.46750000000003,204.40521814180843,9.86416198025887,231.7898011638066,228.36999999999998,224.95019883619335
2005-05-13,229.18,231.09,227.32,229.24,14816100.0,71.17633647834585,218.67950000000002,205.37913115585516,9.559002449690468,232.07296169391523,228.61399999999998,225.15503830608472
2005-05-16,229.68,231.62,228.57,231.05,11351400.0,72.6107005800876,220.8835,206.38583189484123,9.355370310929544,232.31823646109322,229.61999999999998,226.92176353890673
2005-05-17,230.56,233.45,230.2,233.13,15602100.0,74.19963344455651,222.97000000000003,207.4346228009259,9.255141480721676,233.83896939407484,230.686,227.53303060592518
2005-05-18,233.61,239.97,233.52,239.16,24599300.0,78.15599175106178,225.023,208.67875524010526,9.552168562687342,239.82216900101895,232.26,224.69783099898103
2005-05-19,240.48,241.17,238.27,239.18,19413500.0,78.16794983583037,226.74450000000002,209.87488248559134,9.677620908242318,242.59605143118182,234.352,226.1079485688182
2005-05-20,241.21,241.67,239.65,241.61,16310600.0,79.6272352055513,228.03449999999998,211.1193968979211,9.859469658654461,244.87078066823264,236.82599999999996,228.7812193317673
2005-05-23,243.16,258.1,242.71,255.45,42733800.0,85.55100186194744,229.63049999999998,212.85785192153205,10.993630706314605,256.54695199102696,241.706,226.86504800897302
2005-05-24,256.96,265.44,253.5,256.0,58028100.0,85.7285949208448,231.493,214.5497008657857,11.800809524779822,261.8101152603567,246.28000000000003,230.7498847396433
2005-05-25,252.73,260.98,250.63,260.81,36079600.0,87.20924215515777,233.54450000000003,216.36383024359802,12.682436125859056,267.771878685038,250.60999999999999,233.44812131496195
2005-05-26,260.96,263.76,258.3,259.2,27066100.0,84.06535184989866,235.532,218.0436800379667,13.100206982820168,268.21240343569644,254.61399999999998,241.0155965643035
2005-05-27,260.48,266.05,259.25,266.0,24343800.0,86.3101232931229,237.83200000000002,219.92432003647784,13.820680366674964,267.1187046619075,259.492,251.86529533809255
2005-05-31,269.56,278.4,269.37,277.27,44429100.0,89.06067524698035,240.58100000000005,222.17317023112577,15.1266845236361,278.7477512737743,263.856,248.96424872622566
2005-06-01,283.2,292.89,282.02,288.0,70313000.0,90.92929825554384,243.6715,224.75461453578748,16.833477700473054,292.0481328923985,270.256,248.46386710760146
2005-06-02,288.73,289.78,284.6,287.9,35912200.0,90.77367444186409,246.6415,227.23090416183504,17.9708971102402,298.8072059170352,275.674,252.54079408296474
2005-06-03,286.79,289.3,277.41,280.26,37527000.0,79.56911502102791,249.30550000000002,229.31047654764544,18.047782435724542,296.1307658031734,279.88599999999997,263.64123419682653
2005-06-06,282.39,293.75,281.83,290.94,45006700.0,82.7707002818409,252.45149999999998,231.72732060460052,18.754313304001727,295.25994126692194,284.87399999999997,274.488058733078
2005-06-07,297.1,299.59,290.3,293.12,48597300.0,83.34442996334872,255.8065,234.1348766593221,19.268041895341412,296.7510509358767,288.044,279.33694906412325
2005-06-08,292.85,293.19,278.0,279.56,51350300.0,68.1440194095466,258.3945,235.91625404523103,18.369247579207638,297.4011987759367,286.356,275.3108012240633
2005-06-09,284.72,288.5,280.56,286.31,32849300.0,70.9811998418828,261.14549999999997,237.8924793767906,17.99418938190388,296.97813089501005,286.038,275.09786910498997
2005-06-10,286.99,287.28,280.02,282.5,25367800.0,67.33577835805657,263.8345,239.64179391103409,17.191346755732525,296.59487609974286,286.486,276.3771239002571
2005-06-13,279.82,284.19,276.52,282.75,25580700.0,67.4538928479745,266.51,241.3323117968759,16.386369236587086,294.1621217514027,284.848,275.5338782485973
2005-06-14,278.59,281.24,277.75,278.35,20163600.0,63.127305568412105,268.875,242.78398584405724,15.217952442537694,287.4515908449574,281.894,276.3364091550426
2005-06-15,275.0,277.3,267.43,274.8,41724400.0,59.794862910402976,270.9585,244.03951581095697,13.845911336743598,288.8895420099522,280.942,272.9944579900478
2005-06-16,274.26,278.3,273.07,277.44,24899800.0,61.425675368559986,272.8725,245.34933872033122,12.823760483637159,285.2781541715374,279.168,273.05784582846263
2005-06-17,279.0,280.3,275.9,280.3,20847900.0,63.168634037027765,274.9285,246.71995288816137,12.104938470706031,284.0855128557901,278.728,273.3704871442099
2005-06-20,276.08,287.672,271.73,286.7,42007300.0,66.78536997070692,277.183,248.28779787293936,11.914352124726292,287.5247211766088,279.51800000000003,271.51127882339125
2005-06-21,288.18,290.3,284.97,287.84,30234300.0,67.399461781769,278.8025,249.83886462302019,11.720196416340741,291.6145849998886,281.416,271.2174150001114
2005-06-22,289.67,292.32,288.67,289.3,20927000.0,68.21009756340632,280.46750000000003,251.38636012799978,11.550983865140154,293.5398785768217,284.316,275.09212142317824
2005-06-23,288.0,294.81,286.5,289.71,28084600.0,68.44737268882052,281.9125,252.88924796611747,11.319481337958678,293.5849952311023,286.77,279.95500476889765
2005-06-24,290.9,298.0,289.58,297.25,35506800.0,72.51083908520603,283.815,254.62888530077953,11.610589257255697,297.5661704004123,290.15999999999997,282.7538295995876
2005-06-27,298.9,304.47,293.86,304.1,35570100.0,75.58685629808537,285.71999999999997,256.56892901447446,12.252789601351594,305.9806385572198,293.64,281.2993614427802
2005-06-28,306.28,309.25,302.0,302.0,38034900.0,72.89388465889955,286.95649999999995,258.35053964135784,12.448783721639245,308.68716041646354,296.47200000000004,284.25683958353653
2005-06-29,302.5,304.38,292.15,292.72,36560800.0,62.32641502216692,287.1925,259.69836161620657,11.720188987145093,307.99346538633165,297.15600000000006,286.3185346136685
2005-06-30,294.34,298.93,291.04,294.15,30158600.0,63.21145973857581,287.505,261.0494062587083,11.129863323514144,306.8287012470507,298.044,289.2592987529493
2005-07-01,295.04,296.24,289.22,291.25,18436700.0,60.126558567039496,288.0545,262.2337432681707,10.309182381085122,307.2282850500136,296.844,286.4597149499864
2005-07-05,292.0,295.98,290.23,295.71,14973000.0,63.10846305648354,288.293,263.5465376498111,9.904498652616951,302.6144747431899,295.166,287.7175252568101
